opponent,Yards_per_play,rushing_yards
Washington_Redskins,5.48,58
Kansas_City_Chiefs,5.88,107
New_York_Giants,4.85,193
Los_Angeles_Chargers,6.14,214
Arizona_Cardinals,6.55,122
Carolina_Panthers,5.17,101
Washington_Redskins,6.08,127
San_Francisco_49ers,4.61,112
Denver_Broncos,6.25,197
Dallas_Cowboys,6.38,215
Chicago_Bears,5.75,176
Seattle_Seahawks,5.74,98
Los_Angeles_Rams,5.35,139
New_York_Giants,5.17,108
Oakland_Raiders,3.54,78
Dallas_Cowboys,3.98,70
Atlanta Falcons,5.9,63
Dallas Cowboys,4.1,7
New York Jets,3.4,123
Wasginton Redskins,6.3,87
New Orleans Saints,6.6,186
New Yorks Giants,5.6,158
Caroline Panthers,4.3,177
Dallas Cowboys,6.4,172
Miami Dolphins,5.5,83
Tampa Bay Buccaneers,5.3,136
Detroit Lions,3.9,65
New England Patriots,4.3,128
Buffalo Bills,4.8,116
Arizona Cardinals,6.7,74
Wasginton Redskins,5.2,45
New York Giants,6.7,120
Cleveland Browns ,5.52,133
Chicago Bears,4.12,100
Pittsburgh Steelers ,6.98,125
Detroit Lions,6.07,116
Washington Redskins,4.98,94
Vikings,4.43,101
Cowboys,4.1,97
NYG,5.99,96
Atlanta Falcons,5.64,208
Seahawks,4.22,113
Packers,5.03,81
Cincinnati,4.49,53
washington,5.04,95
Ravens,4.05,169
NYG,5.2,118
Cowboys,4.61,114
Atlanta ,3.63,113
Tampa Bay,5.49,91
Indianapolis,4.92,152
Tennessee,5.68,117
Minnesota,6.62,81
New York,5.57,108
Carolina,5.26,58
Jacksonville,6.37,133
Dallas,6.79,71
New Orleans,4.08,58
New York,5.68,127
Washington,6.06,130
Dallas,5.33,34
Los Angeles,6.25,111
Houston,7.11,57
Washington,5.07,129
